time,omega_b2i_0,omega_b2i_1,omega_b2i_2,q_b2i_0,q_b2i_1,q_b2i_2,q_b2i_3,q_i2d_0,q_i2d_1,q_i2d_2,q_i2d_3,r_mass_0,r_mass_1,r_mass_2,rdot_mass_0,rdot_mass_1,rdot_mass_2,r_mass_commanded_0,r_mass_commanded_1,r_mass_commanded_2,u_com_0,u_com_1,u_com_2,u_actual_0,u_actual_1,u_actual_2,theta_hat_0,theta_hat_1,theta_hat_2
7.0,0.08591999858617783,0.170865997672081,-0.03861600160598755,0.9995229840278625,0.003986999858170748,-0.03042300045490265,-0.0036230001132935286,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3075937389932757e-05,1.1916230466213505e-06,7.822984902852525e-07,-1.8765806846860636e-05,-3.6192414981465086e-05,0.00035778676384472165,0.0,0.0,0.0,-7.09507310780047,-0.6465809968796347,-0.4375402197144343
18.0,0.08591999858617783,0.170865997672081,-0.03861600160598755,0.9995229840278625,0.003986999858170748,-0.03042300045490265,-0.0036230001132935286,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3075937389932757e-05,1.1916230466213505e-06,7.822984902852525e-07,-1.8765806846860636e-05,-3.6192414981465086e-05,0.00035778676384472165,0.0,0.0,0.0,-0.002333457514499724,-0.0002126502804097584,-0.00014390006953783448
29.0,0.09267699718475342,0.15623599290847778,-0.055681001394987106,0.9996410012245178,0.006821000017225742,-0.02544800005853176,-0.0048779998905956745,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02076985264798204,-0.02076985264798204,-0.02076985264798204,1.1012277577760162e-05,2.3082829314577057e-06,5.750467956826395e-07,-1.8692814705797464e-05,-3.4589150034910735e-05,0.0004819849294034233,0.0,0.0,0.0,-0.0017936770324142965,-0.0003759725496595905,-9.654543223113922e-05
40.0,0.09267699718475342,0.15623599290847778,-0.055681001394987106,0.9996410012245178,0.006821000017225742,-0.02544800005853176,-0.0048779998905956745,1.0,0.0,0.0,0.0,-0.00030394907081959994,-0.00030394907081959994,-0.00030394907081959994,-0.021760321328404834,-0.021760321328404834,-0.02270377922039512,1.1029403058332906e-05,2.3136207084360626e-06,5.759638039796712e-07,-1.8733927810768974e-05,-3.464727913630536e-05,0.0004830580738933474,-7.902675841309598e-05,-7.902675841309598e-05,-8.145835097965279e-05,-0.001892767248095176,-0.0003967428446249631,-0.0001018790054050737
51.0,0.09267699718475342,0.15623599290847778,-0.055681001394987106,0.9996410012245178,0.006821000017225742,-0.02544800005853176,-0.0048779998905956745,1.0,0.0,0.0,0.0,-0.0005065817846993333,-0.0007092144985790666,-0.0007092144985790666,-0.02270377922039512,-0.023607987156698436,-0.023607987156698436,1.104807054670082e-05,2.3215849146810844e-06,5.769912922676194e-07,-1.8777078710895532e-05,-3.4711645336315975e-05,0.0004843026593866561,-0.00013171126402182666,-0.00018439576963055732,-0.00019006948561918987,-0.0020198479185789607,-0.00042338021736866615,-0.00010871917676165611
62.0,0.09267699718475342,0.15623599290847778,-0.055681001394987106,0.9996410012245178,0.006821000017225742,-0.02544800005853176,-0.0048779998905956745,1.0,0.0,0.0,0.0,-0.0009118472124587998,-0.0009118472124587998,-0.0009118472124587998,-0.024477544899803663,-0.024477544899803663,-0.024477544899803663,1.1068847367165418e-05,2.3258976918448275e-06,5.780756812087657e-07,-1.8832523324649385e-05,-3.47821789585779e-05,0.0004856054125844493,-0.00023708027523928796,-0.00023708027523928796,-0.00024437505293895836,-0.0018334421828919542,-0.0003843077207871143,-9.868580843667844e-05
74.0,0.09267699718475342,0.15623599290847778,-0.055681001394987106,0.9996410012245178,0.006821000017225742,-0.02544800005853176,-0.0048779998905956745,1.0,0.0,0.0,0.0,-0.001114479926338533,-0.001114479926338533,-0.001114479926338533,-0.025316241681364614,-0.025316241681364614,0.0,1.1048157455772692e-05,2.318940977436693e-06,5.769612033151208e-07,-1.8897638944977855e-05,-3.4741777367040854e-05,0.0004865335135318539,-0.0002897647808480186,-0.0002897647808480186,-0.0002986806202587269,-0.002122114409867978,-0.00044481629129938886,-0.00011422371432657693
85.0,0.11149299889802933,0.13127200305461884,-0.07608400285243988,0.9997000098228455,0.00927599985152483,-0.021738000214099884,-0.0064050001092255116,1.0,0.0,0.0,0.0,-0.0015197453540979997,-0.0015197453540979997,-0.001114479926338533,-0.026912916504951655,-0.026912916504951655,0.0,9.467170838782222e-06,3.2418900522321143e-06,4.5824686372003843e-07,-1.9722078220902383e-05,-3.591063053041463e-05,0.0006417543650900527,-0.0003951337920654799,-0.0003951337920654799,-0.0002986806202587269,-0.0015934845099727674,-0.0005447076785998727,-7.948642310625613e-05
97.0,0.11149299889802933,0.13127200305461884,-0.07608400285243988,0.9997000098228455,0.00927599985152483,-0.021738000214099884,-0.0064050001092255116,1.0,0.0,0.0,0.0,-0.0017223780679777331,-0.0017223780679777331,-0.001114479926338533,-0.027675686810539935,-0.027675686810539935,0.0,9.474585673298478e-06,3.2453655103277407e-06,4.5862238309325767e-07,-1.977600086182218e-05,-3.5955886299402844e-05,0.0006431936564229581,-0.00044781829767421064,-0.00044781829767421064,-0.0002986806202587269,-0.0017929033625310876,-0.0006128758845449366,-8.943386294053833e-05
108.0,0.11149299889802933,0.13127200305461884,-0.07608400285243988,0.9997000098228455,0.00927599985152483,-0.021738000214099884,-0.0064050001092255116,1.0,0.0,0.0,0.0,-0.0021276434957372,-0.0021276434957372,-0.001114479926338533,-0.029139839842597413,-0.029139839842597413,0.0,9.490288354416163e-06,3.252725622019222e-06,4.5941763495737515e-07,-1.9890194918821163e-05,-3.605172618734637e-05,0.0006462416992061814,-0.0005531873088916719,-0.0005531873088916719,-0.0002986806202587269,-0.00164767756545716,-0.0005632327243498574,-8.21896888805352e-05
