time,omega_b2i_0,omega_b2i_1,omega_b2i_2,q_b2i_0,q_b2i_1,q_b2i_2,q_b2i_3,q_i2d_0,q_i2d_1,q_i2d_2,q_i2d_3,r_mass_0,r_mass_1,r_mass_2,rdot_mass_0,rdot_mass_1,rdot_mass_2,r_mass_commanded_0,r_mass_commanded_1,r_mass_commanded_2,u_com_0,u_com_1,u_com_2,u_actual_0,u_actual_1,u_actual_2,theta_hat_0,theta_hat_1,theta_hat_2
6.0,-0.008311999961733818,0.01637599989771843,-0.013616000302135944,0.9999060034751892,-0.01284599956125021,0.004774999804794788,-1.2000000424450263e-05,1.0,0.0,0.0,0.0,0.0,0.0,-0.1208,0.0,0.0,0.0,0.01062165827366244,0.014708882392240464,-0.1208,0.07506113459140566,-0.05420355537660804,-2.6126195151124737e-11,0.015830492354415835,-0.005884584947366983,0.0,0.0,0.0,0.0
17.0,-0.008311999961733818,0.01637599989771843,-0.013616000302135944,0.9999060034751892,-0.01284599956125021,0.004774999804794788,-1.2000000424450263e-05,1.0,0.0,0.0,0.0,0.0,0.0,-0.1208,0.0,0.0,0.0,0.01062165827366244,0.014708882392240464,-0.1208,0.07506113459140566,-0.05420355537660804,-2.6126195151124737e-11,0.015830492354415835,-0.005884584947366983,0.0,0.0,0.0,0.0
28.0,-0.008311999961733818,0.01637599989771843,-0.013616000302135944,0.9999060034751892,-0.01284599956125021,0.004774999804794788,-1.2000000424450263e-05,1.0,0.0,0.0,0.0,0.00030394907081959994,0.0,-0.1208,0.0708849741787032,0.0708849741787032,0.0,0.01062165827366244,0.014708882392240464,-0.1208,0.07506113459140566,-0.05420355537660804,-2.6126195151124737e-11,0.015830492354415835,-0.007434507260833566,2.0528620134785964e-05,0.0,0.0,0.0
39.0,-0.008311999961733818,0.01637599989771843,-0.013616000302135944,0.9999060034751892,-0.01284599956125021,0.004774999804794788,-1.2000000424450263e-05,1.0,0.0,0.0,0.0,0.0013171126402182665,0.0007092144985790666,-0.1208,0.14061088926329463,0.14061088926329463,0.0,0.01062165827366244,0.014708882392240464,-0.1208,0.07506113459140566,-0.05420355537660804,-2.6126195151124737e-11,0.01944697775250453,-0.012600914972388846,7.115169876539888e-05,0.0,0.0,0.0
50.0,-0.008311999961733818,0.01637599989771843,-0.013616000302135944,0.9999060034751892,-0.01284599956125021,0.004774999804794788,-1.2000000424450263e-05,1.0,0.0,0.0,0.0,0.002938174351256133,0.002938174351256133,-0.1208,0.20361547739829028,0.20361547739829028,0.0,0.01062165827366244,0.014708882392240464,-0.1208,0.07506113459140566,-0.05420355537660804,-2.6126195151124737e-11,0.03081307471792615,-0.02086716731087729,0.0001246770423398545,0.0,0.0,0.0
61.0,-0.008311999961733818,0.01637599989771843,-0.013616000302135944,0.9999060034751892,-0.01284599956125021,0.004774999804794788,-1.2000000424450263e-05,1.0,0.0,0.0,0.0,0.005268450560873066,0.005268450560873066,-0.1208,0.20664624469159018,0.26806888940092566,0.0,0.01062165827366244,0.014708882392240464,-0.1208,0.07506113459140566,-0.05420355537660804,-2.6126195151124737e-11,0.04269581245450329,-0.03274990504745443,0.0002235588345404288,0.0,0.0,0.0
72.0,0.019582999870181084,-0.04910999909043312,-0.00965300016105175,0.999904990196228,-0.01285600010305643,0.004883999936282635,-0.00025499999173916876,1.0,0.0,0.0,0.0,0.007396094056610266,0.008003992198249467,-0.1208,0.15955395738362085,0.23280779911245672,0.0,0.00344280510585633,0.012095549319615399,-0.1208,0.06172511406438027,-0.0175690687749277,-1.8682050739422276e-11,0.056655823361855685,-0.043737406625135845,0.000294204137905114,0.0,0.0,0.0
82.0,0.019582999870181084,-0.04910999909043312,-0.00965300016105175,0.999904990196228,-0.01285600010305643,0.004883999936282635,-0.00025499999173916876,1.0,0.0,0.0,0.0,0.008915839410708264,0.010334268407866398,-0.1208,0.11462747938833506,0.18791452248650142,0.0,0.00344280510585633,0.012095549319615399,-0.1208,0.06172511406438027,-0.0175690687749277,-1.8682050739422276e-11,0.06853852221120602,-0.05148699283123389,0.0003370395836337357,0.0,0.0,0.0
93.0,0.019582999870181084,-0.04910999909043312,-0.00965300016105175,0.999904990196228,-0.01285600010305643,0.004883999936282635,-0.00025499999173916876,1.0,0.0,0.0,0.0,0.0100303193370468,0.012259279189723866,-0.1208,0.06408008150001449,0.14038896592065978,0.0,0.00344280510585633,0.012095549319615399,-0.1208,0.06172511406438027,-0.0175690687749277,-1.8682050739422276e-11,0.07835466473893023,-0.05717002271570581,0.00036289834572778934,0.0,0.0,0.0
103.0,0.019582999870181084,-0.04910999909043312,-0.00965300016105175,0.999904990196228,-0.01285600010305643,0.004883999936282635,-0.00025499999173916876,1.0,0.0,0.0,0.0,0.010435584764806265,0.013576391829942133,-0.1208,0.028661069409972834,0.09504450730537765,0.0,0.00344280510585633,0.012095549319615399,-0.1208,0.06172511406438027,-0.0175690687749277,-1.8682050739422276e-11,0.0850709727842152,-0.05923657903733195,0.0003564445217237222,0.0,0.0,0.0
114.0,0.019582999870181084,-0.04910999909043312,-0.00965300016105175,0.999904990196228,-0.01285600010305643,0.004883999936282635,-0.00025499999173916876,1.0,0.0,0.0,0.0,0.010131635693986667,0.014488239042400932,-0.1208,-0.0877744104539159,0.04052970282241675,0.0,0.00344280510585633,0.012095549319615399,-0.1208,0.06172511406438027,-0.0175690687749277,-1.8682050739422276e-11,0.08972072450787404,-0.05768666179611235,0.00031247133214628225,0.0,0.0,0.0
124.0,0.01895900070667267,0.014139999635517597,0.00737700005993247,0.9999229907989502,-0.011694000102579594,0.0042489999905228615,-0.00023600000713486224,1.0,0.0,0.0,0.0,0.008915839410708264,0.014690871756280666,-0.1208,-0.15794206484360587,-0.0612923417459669,0.0,0.0046334476576045175,0.012475535002483164,-0.1208,0.06365996262048404,-0.023643483395495397,1.793502667509496e-11,0.0893278599228198,-0.050707114842847754,0.00021972592269598422,0.0,0.0,0.0
136.0,0.01895900070667267,0.014139999635517597,0.00737700005993247,0.9999229907989502,-0.011694000102579594,0.0042489999905228615,-0.00023600000713486224,1.0,0.0,0.0,0.0,0.007092144985790666,0.014184289971581332,-0.1208,-0.17431198124846217,-0.11098765896231287,0.0,0.0046334476576045175,0.012475535002483164,-0.1208,0.06365996262048404,-0.023643483395495397,1.793502667509496e-11,0.08674448281365701,-0.04140695724986176,0.00011893165716066408,0.0,0.0,0.0
147.0,0.01895900070667267,0.014139999635517597,0.00737700005993247,0.9999229907989502,-0.011694000102579594,0.0042489999905228615,-0.00023600000713486224,1.0,0.0,0.0,0.0,0.005369766917812933,0.012968493688302933,-0.1208,-0.12815717416757477,-0.05731542154565024,0.0,0.0046334476576045175,0.012475535002483164,-0.1208,0.06365996262048404,-0.023643483395495397,1.793502667509496e-11,0.08054437775166635,-0.03262347507870832,4.022049770792667e-05,0.0,0.0,0.0
158.0,0.01895900070667267,0.014139999635517597,0.00737700005993247,0.9999229907989502,-0.011694000102579594,0.0042489999905228615,-0.00023600000713486224,1.0,0.0,0.0,0.0,0.004052654277594666,0.012157962832783998,-0.1208,-0.07581990129949917,-0.028661069409972834,0.0,0.0046334476576045175,0.012475535002483164,-0.1208,0.06365996262048404,-0.023643483395495397,1.793502667509496e-11,0.0764109743770059,-0.025906694594885083,-2.2634974868200495e-05,0.0,0.0,0.0
168.0,0.01895900070667267,0.014139999635517597,0.00737700005993247,0.9999229907989502,-0.011694000102579594,0.0042489999905228615,-0.00023600000713486224,1.0,0.0,0.0,0.0,0.0033434397790155996,0.012461911903603597,-0.1208,0.03772818404417343,0.0,0.0,0.0046334476576045175,0.012475535002483164,-0.1208,0.06365996262048404,-0.023643483395495397,1.793502667509496e-11,0.07796100064250357,-0.022289966642057197,-7.303140735655624e-05,0.0,0.0,0.0
178.0,0.01895900070667267,0.014139999635517597,0.00737700005993247,0.9999229907989502,-0.011694000102579594,0.0042489999905228615,-0.00023600000713486224,1.0,0.0,0.0,0.0,0.003951337920654799,0.012461911903603597,-0.1208,0.07019585073111402,0.0,0.0,0.0046334476576045175,0.012475535002483164,-0.1208,0.06365996262048404,-0.023643483395495397,1.793502667509496e-11,0.07796100064250357,-0.025390019173052527,-3.565848876906822e-05,0.0,0.0,0.0
189.0,0.019807999953627586,0.008999999612569809,0.008429000154137611,0.9999150037765503,-0.011896999552845955,0.005295000039041042,3.9999998989515007e-05,1.0,0.0,0.0,0.0,0.004356603348414266,0.012461911903603597,-0.1208,0.04052970282241675,0.0,0.0,0.005079193750438225,0.012890230167065602,-0.1208,0.06577792397427423,-0.025918762972470442,1.7118818650369717e-11,0.07821058990861864,-0.028741039874526874,-7.438855494249436e-05,0.0,0.0,0.0
199.0,0.019807999953627586,0.008999999612569809,0.008429000154137611,0.9999150037765503,-0.011896999552845955,0.005295000039041042,3.9999998989515007e-05,1.0,0.0,0.0,0.0,0.004559236062293999,0.012461911903603597,-0.1208,0.0,0.0,0.0,0.005079193750438225,0.012890230167065602,-0.1208,0.06577792397427423,-0.025918762972470442,1.7118818650369717e-11,0.07821058990861864,-0.02977435888236402,-6.17134483388715e-05,0.0,0.0,0.0
210.0,0.019807999953627586,0.008999999612569809,0.008429000154137611,0.9999150037765503,-0.011896999552845955,0.005295000039041042,3.9999998989515007e-05,1.0,0.0,0.0,0.0,0.004559236062293999,0.012765860974423199,-0.1208,0.04052970282241675,0.028661069409972834,0.0,0.005079193750438225,0.012890230167065602,-0.1208,0.06577792397427423,-0.025918762972470442,1.7118818650369717e-11,0.07976056842037436,-0.02977435888236402,-7.017450558083217e-05,0.0,0.0,0.0
221.0,0.019807999953627586,0.008999999612569809,0.008429000154137611,0.9999150037765503,-0.011896999552845955,0.005295000039041042,3.9999998989515007e-05,1.0,0.0,0.0,0.0,0.005065817846993333,0.012867177331363066,-0.1208,0.0,0.0,0.0,0.005079193750438225,0.012890230167065602,-0.1208,0.06577792397427423,-0.025918762972470442,1.7118818650369717e-11,0.08027722792429294,-0.032357656401956876,-4.130709148576181e-05,0.0,0.0,0.0
232.0,0.019807999953627586,0.008999999612569809,0.008429000154137611,0.9999150037765503,-0.011896999552845955,0.005295000039041042,3.9999998989515007e-05,1.0,0.0,0.0,0.0,0.005065817846993333,0.012867177331363066,-0.1208,0.0,0.0,0.0,0.005079193750438225,0.012890230167065602,-0.1208,0.06577792397427423,-0.025918762972470442,1.7118818650369717e-11,0.08027722792429294,-0.032357656401956876,-4.130709148576181e-05,0.0,0.0,0.0
242.0,0.05212000012397766,-0.04782300069928169,0.03206900134682655,0.9999240040779114,-0.011349000036716461,0.00471699982881546,0.0006290000164881349,1.0,0.0,0.0,0.0,0.005065817846993333,0.012867177331363066,-0.1208,0.0,0.0,0.0,-0.006322048736596986,0.010942107574092946,-0.1208,0.05583471665042085,0.03225976325661155,5.595345025089973e-11,0.07960784818098238,-0.03163815563772565,-1.627600380660325e-05,0.0,0.0,0.0
253.0,0.05212000012397766,-0.04782300069928169,0.03206900134682655,0.9999240040779114,-0.011349000036716461,0.00471699982881546,0.0006290000164881349,1.0,0.0,0.0,0.0,0.005065817846993333,0.012867177331363066,-0.1208,0.0,0.0,0.0,-0.006322048736596986,0.010942107574092946,-0.1208,0.05583471665042085,0.03225976325661155,5.595345025089973e-11,0.07960784818098238,-0.03163815563772565,-1.627600380660325e-05,0.0,0.0,0.0
264.0,0.05212000012397766,-0.04782300069928169,0.03206900134682655,0.9999240040779114,-0.011349000036716461,0.00471699982881546,0.0006290000164881349,1.0,0.0,0.0,0.0,0.004761868776173734,0.012867177331363066,-0.1208,-0.0708849741787032,-0.0708849741787032,0.0,-0.006322048736596986,0.010942107574092946,-0.1208,0.05583471665042085,0.03225976325661155,5.595345025089973e-11,0.07960784818098238,-0.030088119882985435,-3.441748492034736e-05,0.0,0.0,0.0
275.0,0.05212000012397766,-0.04782300069928169,0.03206900134682655,0.9999240040779114,-0.011349000036716461,0.00471699982881546,0.0006290000164881349,1.0,0.0,0.0,0.0,0.003748705206775066,0.012157962832783998,-0.1208,-0.14061088926329463,-0.07581990129949917,0.0,-0.006322048736596986,0.010942107574092946,-0.1208,0.05583471665042085,0.03225976325661155,5.595345025089973e-11,0.07599109808658852,-0.02492133403385136,-7.732658346288258e-05,0.0,0.0,0.0
286.0,0.05212000012397766,-0.04782300069928169,0.03206900134682655,0.9999240040779114,-0.011349000036716461,0.00471699982881546,0.0006290000164881349,1.0,0.0,0.0,0.0,0.0021276434957372,0.011144799263385333,-0.1208,-0.20361547739829028,0.0,0.0,-0.006322048736596986,0.010942107574092946,-0.1208,0.05583471665042085,0.03225976325661155,5.595345025089973e-11,0.07082431223745445,-0.016654476675236844,-0.0001489918563029295,0.0,0.0,0.0
297.0,0.033966999500989914,0.02124599926173687,0.010970000177621841,0.9999319911003113,-0.010707000270485878,0.004435000009834766,0.0010260000126436353,1.0,0.0,0.0,0.0,-0.00020263271387973333,0.010840850192565732,-0.1208,-0.2219735854149658,0.0,0.0,0.004917743598044833,0.010148125719153607,-0.1208,0.05178149465515333,-0.025093117771843282,1.2950883292082334e-11,0.06848700625389138,-0.004418613078593702,-0.000263576696122447,0.0,0.0,0.0
309.0,0.033966999500989914,0.02124599926173687,0.010970000177621841,0.9999319911003113,-0.010707000270485878,0.004435000009834766,0.0010260000126436353,1.0,0.0,0.0,0.0,-0.0023302762096169332,0.010840850192565732,-0.1208,-0.1789610746702802,0.0,0.0,0.004917743598044833,0.010148125719153607,-0.1208,0.05178149465515333,-0.025093117771843282,1.2950883292082334e-11,0.06848700625389138,0.0064319993950712985,-0.00038340391389875744,0.0,0.0,0.0
320.0,0.033966999500989914,0.02124599926173687,0.010970000177621841,0.9999319911003113,-0.010707000270485878,0.004435000009834766,0.0010260000126436353,1.0,0.0,0.0,0.0,-0.004052654277594666,0.010536901121746132,-0.1208,-0.11098765896231287,-0.05731542154565024,0.0,0.004917743598044833,0.010148125719153607,-0.1208,0.05178149465515333,-0.025093117771843282,1.2950883292082334e-11,0.06693691875765354,0.015215828540419155,-0.0004733368647603739,0.0,0.0,0.0
331.0,0.033966999500989914,0.02124599926173687,0.010970000177621841,0.9999319911003113,-0.010707000270485878,0.004435000009834766,0.0010260000126436353,1.0,0.0,0.0,0.0,-0.005369766917812933,0.010232952050926532,-0.1208,-0.05731542154565024,-0.028661069409972834,0.0,0.004917743598044833,0.010148125719153607,-0.1208,0.05178149465515333,-0.025093117771843282,1.2950883292082334e-11,0.06538683126141566,0.02193287435744987,-0.0005404455836645981,0.0,0.0,0.0
342.0,0.033966999500989914,0.02124599926173687,0.010970000177621841,0.9999319911003113,-0.010707000270485878,0.004435000009834766,0.0010260000126436353,1.0,0.0,0.0,0.0,-0.006180297773331866,0.010131635693986667,-0.1208,-0.028661069409972834,0.0,0.0,0.004917743598044833,0.010148125719153607,-0.1208,0.05178149465515333,-0.025093117771843282,1.2950883292082334e-11,0.0648701354293364,0.026066441014084153,-0.0005837373692602824,0.0,0.0,0.0
352.0,0.033966999500989914,0.02124599926173687,0.010970000177621841,0.9999319911003113,-0.010707000270485878,0.004435000009834766,0.0010260000126436353,1.0,0.0,0.0,0.0,-0.005876348702512266,0.010131635693986667,-0.1208,0.0877744104539159,0.0,0.0,0.004917743598044833,0.010148125719153607,-0.1208,0.05178149465515333,-0.025093117771843282,1.2950883292082334e-11,0.0648701354293364,0.0245163535178463,-0.0005666191952922381,0.0,0.0,0.0
363.0,0.01742500066757202,0.00583899999037385,0.0029529999010264874,0.9999330043792725,-0.010266999714076519,0.005237000063061714,0.0013119999784976244,1.0,0.0,0.0,0.0,-0.0046605524192338665,0.010131635693986667,-0.1208,0.15794206484360587,0.0,0.0,0.00609758152831515,0.0106318916640889,-0.1208,0.0542498495972269,-0.031113266695250608,-6.674962816780132e-12,0.06433098189569578,0.017330800914992575,-0.000530012289483398,0.0,0.0,0.0
374.0,0.01742500066757202,0.00583899999037385,0.0029529999010264874,0.9999330043792725,-0.010266999714076519,0.005237000063061714,0.0013119999784976244,1.0,0.0,0.0,0.0,-0.0028368579943162664,0.010131635693986667,-0.1208,0.22169436767392886,0.0,0.0,0.00609758152831515,0.0106318916640889,-0.1208,0.0542498495972269,-0.031113266695250608,-6.674962816780132e-12,0.06433098189569578,0.008030237174480245,-0.0004314998930136749,0.0,0.0,0.0
384.0,0.01742500066757202,0.00583899999037385,0.0029529999010264874,0.9999330043792725,-0.010266999714076519,0.005237000063061714,0.0013119999784976244,1.0,0.0,0.0,0.0,-0.00040526542775946666,0.010435584764806265,-0.1208,0.22925329718845827,0.028661069409972834,0.0,0.00609758152831515,0.0106318916640889,-0.1208,0.0542498495972269,-0.031113266695250608,-6.674962816780132e-12,0.06588107585244782,-0.004370514479536196,-0.00030849778267586723,0.0,0.0,0.0
394.0,0.01742500066757202,0.00583899999037385,0.0029529999010264874,0.9999330043792725,-0.010266999714076519,0.005237000063061714,0.0013119999784976244,1.0,0.0,0.0,0.0,0.0019250107818574664,0.010536901121746132,-0.1208,0.18349241822503728,0.0,0.0,0.00609758152831515,0.0106318916640889,-0.1208,0.0542498495972269,-0.031113266695250608,-6.674962816780132e-12,0.06639777383803185,-0.01625456814796862,-0.00018540341550516218,0.0,0.0,0.0
405.0,0.01742500066757202,0.00583899999037385,0.0029529999010264874,0.9999330043792725,-0.010266999714076519,0.005237000063061714,0.0013119999784976244,1.0,0.0,0.0,0.0,0.003748705206775066,0.010536901121746132,-0.1208,0.13743312207142425,0.0,0.0,0.00609758152831515,0.0106318916640889,-0.1208,0.0542498495972269,-0.031113266695250608,-6.674962816780132e-12,0.06639777383803185,-0.02555513188848095,-8.689101903543915e-05,0.0,0.0,0.0
416.0,-0.007098000030964613,-0.029639000073075294,-0.009119000285863876,0.9999430179595947,-0.009809000417590141,0.004081000108271837,0.0011119999689981341,1.0,0.0,0.0,0.0,0.005065817846993333,0.010536901121746132,-0.1208,0.09062151145999496,0.0,0.0,0.0036573926929323194,0.01147944970242184,-0.1208,0.058572199625458704,-0.018661306985969614,-3.043911483722165e-11,0.06583271992789054,-0.030851818800353346,3.5897747573770586e-05,0.0,0.0,0.0
428.0,-0.007098000030964613,-0.029639000073075294,-0.009119000285863876,0.9999430179595947,-0.009809000417590141,0.004081000108271837,0.0011119999689981341,1.0,0.0,0.0,0.0,0.0059776650594521325,0.010536901121746132,-0.1208,0.028661069409972834,0.0,0.0,0.0036573926929323194,0.01147944970242184,-0.1208,0.058572199625458704,-0.018661306985969614,-3.043911483722165e-11,0.06583271992789054,-0.03550228444043552,8.294743751637585e-05,0.0,0.0,0.0
439.0,-0.007098000030964613,-0.029639000073075294,-0.009119000285863876,0.9999430179595947,-0.009809000417590141,0.004081000108271837,0.0011119999689981341,1.0,0.0,0.0,0.0,0.006078981416391999,0.010840850192565732,-0.1208,-0.05238866052301734,0.07019585073111402,0.0,0.0036573926929323194,0.01147944970242184,-0.1208,0.058572199625458704,-0.018661306985969614,-3.043911483722165e-11,0.06738287514125127,-0.0360190028448891,8.167067837869631e-05,0.0,0.0,0.0
