time,omega_b2i_0,omega_b2i_1,omega_b2i_2,q_i2b_0,q_i2b_1,q_i2b_2,q_i2b_3,q_i2d_0,q_i2d_1,q_i2d_2,q_i2d_3,r_mass_0,r_mass_1,r_mass_2,rdot_mass_0,rdot_mass_1,rdot_mass_2,r_mass_commanded_0,r_mass_commanded_1,r_mass_commanded_2,u_com_0,u_com_1,u_com_2,u_actual_0,u_actual_1,u_actual_2,theta_hat_0,theta_hat_1,theta_hat_2,omega_d2i_D_0,omega_d2i_D_1,omega_d2i_D_2
6.0,-0.014417000114917755,0.03744199872016907,-0.0016710000345483422,0.9999960064888,0.0010770000517368317,0.002549000084400177,-9.000000318337698e-06,0.9999515751262544,0.0,0.0,-0.009841107789392595,0.0,0.0,0.0,0.0,0.0,0.0,0.010764954242585691,0.0016468950055953159,9.960174853290996e-05,0.008400445338666936,-0.054914660457706016,0.00016111117638234904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001516828008876519
31.0,-0.014417000114917755,0.03744199872016907,-0.0016710000345483422,0.9999960064888,0.0010770000517368317,0.002549000084400177,-9.000000318337698e-06,0.99995138552006,0.0,0.0,-0.009860354786331564,0.00027861998158463326,0.00010131635693986666,8.865181232238332e-05,0.052742231803625195,0.052742231803625195,0.0,0.010837782460576203,0.001631659274481404,0.0001003858259827384,0.008322721602839683,-0.055286176460328726,0.00016151517242622292,0.0005158528343488617,-0.0014235794862998523,2.935743765383129e-06,-0.00023558424983865682,-3.331150461501431e-05,-3.3878244403839564e-06,0.0,0.0,-0.001516828008876519
56.0,-0.014417000114917755,0.03744199872016907,-0.0016710000345483422,0.9999960064888,0.0010770000517368317,0.002549000084400177,-9.000000318337698e-06,0.9999512030933846,0.0,0.0,-0.009878837588147745,0.002494915289644216,0.0015197453540979997,8.865181232238332e-05,0.14053190303341964,0.026565447001786355,0.0,0.010976551939950153,0.0016514550208347298,0.00010167577161530013,0.008423694779520928,-0.05599407354328804,0.00016355473732808444,0.007751429637665276,-0.012729168241481749,3.449766370251496e-05,-0.00046181419837322963,-6.529911528314616e-05,-6.641136901551824e-06,0.0,0.0,-0.0015168280088765193
71.0,0.003889000043272972,0.013907999731600285,-0.001044000033289194,0.9999939799308777,0.0006319999811239541,0.003541999962180853,-3.999999989900971e-06,0.9999511087250189,0.0,0.0,-0.009888385085816416,0.004888514222348566,0.0016463908002728332,0.00010131635693986666,0.19319107822263262,0.0,0.0,0.0074914409607673114,-0.0015628863106565217,0.00010680546401190357,-0.007972751371670715,-0.038216372985768465,-8.174754355544798e-06,0.008397705648970072,-0.02494032692573258,4.69077206411561e-05,-0.0005768638555924355,-5.856311072351434e-05,-8.782173872116362e-06,0.0,0.0,-0.0010539442672792903
92.0,0.003889000043272972,0.013907999731600285,-0.001044000033289194,0.9999939799308777,0.0006319999811239541,0.003541999962180853,-3.999999989900971e-06,0.9999510027247462,0.0,0.0,-0.009899098432409768,0.008459915804478867,0.0015577389879504497,0.00010131635693986666,0.13348935764807857,-0.035205427083372334,0.0,0.007570877972755988,-0.0015803857451141482,0.00010794027101199457,-0.008062021027372277,-0.038621608081680615,-8.29493765732334e-06,0.007945486323057076,-0.04315830548394182,5.712463309800197e-05,-0.0007043310936578235,-3.00646036126826e-05,-1.1599226859421284e-05,0.0,0.0,-0.0010539442672792899
117.0,0.003889000043272972,0.013907999731600285,-0.001044000033289194,0.9999939799308777,0.0006319999811239541,0.003541999962180853,-3.999999989900971e-06,0.9999508697456556,0.0,0.0,-0.009912522126432934,0.010853514737183215,-0.00021529725849721664,0.00010131635693986666,0.03386439621806678,-0.097154492573252,0.0,0.007664391638657729,-0.001602606101585748,0.0001092801446732888,-0.008175373130196315,-0.03909865302961965,-8.494957033139297e-06,-0.001098900195202823,-0.055368227283592676,3.2057146479640634e-05,-0.0008640457946584883,5.644902563856998e-06,-1.5128960421700192e-05,0.0,0.0,-0.00105394426727929
138.0,-0.005417999811470509,0.007846999913454056,0.012124000117182732,0.9999939799308777,0.00025400001322850585,0.0035649999044835567,0.0001340000017080456,0.9999521241563797,0.0,0.0,-0.009785161988669093,0.0105622302109811,-0.0015957326218028998,0.00010131635693986666,-0.07005846448811977,0.01824327606062081,0.0,0.006534144799059983,0.0007418116233609889,8.966376485639976e-05,0.0037839156452646235,-0.03333283370457478,4.394481280341391e-05,-0.008140212452483442,-0.05388239772477783,-1.5779012215838613e-05,-0.0009737992276496889,-7.18150363487785e-06,-1.745702338038592e-05,-0.0,0.0,0.012166322977449875
154.0,-0.005417999811470509,0.007846999913454056,0.012124000117182732,0.9999939799308777,0.00025400001322850585,0.0035649999044835567,0.0001340000017080456,0.9999530786078459,0.0,0.0,-0.009687134906234941,0.009232453026145348,-0.0010258281140161497,8.865181232238332e-05,-0.12282328224004521,0.07275643415282303,0.0,0.006578864534399576,0.0007485009162578642,9.027583208077582e-05,0.003818037401076901,-0.0335609638351741,4.430421341494614e-05,-0.005233054783333975,-0.0470986459293706,-6.8754684757538786e-06,-0.0010582751705922357,-1.70606027597933e-05,-1.9248896080059406e-05,-0.0,0.0,0.012166322977449875
175.0,-0.005417999811470509,0.007846999913454056,0.012124000117182732,0.9999939799308777,0.00025400001322850585,0.0035649999044835567,0.0001340000017080456,0.9999543084740642,0.0,0.0,-0.009559339106663034,0.007066815896555699,0.0005192463293168166,8.865181232238332e-05,-0.06158931391165457,0.03984810844641247,0.0,0.006643925277409159,0.0007545680593857437,9.116992047417326e-05,0.0038489851478166275,-0.03389286022769081,4.469379652992125e-05,0.0026484835324220076,-0.03605157173269624,1.918923800812518e-05,-0.001168405225948844,-2.9948434487205764e-05,-2.1584921274937806e-05,-0.0,0.0,0.012166322977449873
200.0,0.015814000740647316,0.04124800115823746,0.02931799925863743,0.9999880194664001,-1.4999999621068127e-05,0.004832000005990267,0.0010969999711960554,0.9999577011292123,0.0,0.0,-0.009197605796131422,0.006598227745708817,0.0007472081324315166,8.865181232238332e-05,0.016268023813710394,0.0,0.0,0.015155366494558032,-0.003354381422703324,0.00028406336282095246,-0.01711056709017433,-0.07731420834224037,-0.00016686255493011652,0.003811491157462786,-0.03366169782062546,1.864796854830336e-05,-0.0014770366579567975,4.070009521363888e-05,-3.0528988039147436e-05,-0.0,0.0,0.029163022192882766
217.0,0.015814000740647316,0.04124800115823746,0.02931799925863743,0.9999880194664001,-1.4999999621068127e-05,0.004832000005990267,0.0010969999711960554,0.9999599277771817,0.0,0.0,-0.008952253339452246,0.006737537736501132,0.00046858815084688325,0.00018996816926224996,0.035205427083372334,-0.052742231803625195,0.0,0.015276082510789796,-0.0033814503039005296,0.00028632598033095376,-0.01724864438505953,-0.07793003397914991,-0.00016820893047166726,0.002390270463321975,-0.03437730783115485,1.1561907068928339e-05,-0.00168637139889944,8.859195222054777e-05,-3.659546146197811e-05,-0.0,0.0,0.029163022192882766
237.0,0.015814000740647316,0.04124800115823746,0.02931799925863743,0.9999880194664001,-1.4999999621068127e-05,0.004832000005990267,0.0010969999711960554,0.9999625382563246,0.0,0.0,-0.008655754384719093,0.007978663109014501,-0.0011271444709560164,0.00027861998158463326,0.12295446538924253,-0.12295446538924253,0.0,0.015426879614689335,-0.003413542253165641,0.0002891524817649835,-0.017412344144610712,-0.07869931651224453,-0.00016980590773544866,-0.005749496705025582,-0.04071261499330587,-2.9044505577971624e-05,-0.0019393439515182017,0.00014643928686497996,-4.392655042403166e-05,-0.0,0.0,0.02916302219288275
254.0,0.0063310000114142895,0.003788999980315566,0.020047999918460846,0.9999819993972778,0.000493000028654933,0.005665999837219715,0.001787999994121492,0.9999639729938393,0.0,0.0,-0.008488387030290668,0.010638217478685999,-0.0027355416373763992,0.00027861998158463326,0.17563801982622831,-0.06772870505077791,0.0,0.008975617586913322,-0.002127350950505313,0.00020148339156437125,-0.010851868675732219,-0.04578943912342293,-7.688169118679603e-05,-0.01395506602514941,-0.05428024276693102,-5.334175790794323e-05,-0.0020535318634407464,0.00017581980266273797,-4.78967593179478e-05,-0.0,0.0,0.019978776001334228
279.0,0.0063310000114142895,0.003788999980315566,0.020047999918460846,0.9999819993972778,0.000493000028654933,0.005665999837219715,0.001787999994121492,0.9999661124309938,0.0,0.0,-0.008232495954752107,0.014260277239286231,-0.0029888325297260663,0.00018996816926224996,0.08710041987030787,0.06502240844819901,0.0,0.009064802537110762,-0.002154763077677865,0.0002034976529405204,-0.01099169963727569,-0.0462444197510507,-7.800823245949934e-05,-0.015246614290685663,-0.0727507664530768,-5.1304532380791736e-05,-0.0022281189016105725,0.0002207066865050245,-5.396688681914479e-05,-0.0,0.0,0.01997877600133422
