time,omega_b2i_0,omega_b2i_1,omega_b2i_2,q_b2i_0,q_b2i_1,q_b2i_2,q_b2i_3,q_i2d_0,q_i2d_1,q_i2d_2,q_i2d_3,r_mass_0,r_mass_1,r_mass_2,rdot_mass_0,rdot_mass_1,rdot_mass_2,r_mass_commanded_0,r_mass_commanded_1,r_mass_commanded_2,u_com_0,u_com_1,u_com_2,u_actual_0,u_actual_1,u_actual_2,theta_hat_0,theta_hat_1,theta_hat_2
7.0,0.022036999464035034,0.0003539999888744205,0.0059090000577270985,0.9998059868812561,0.0019130000146105886,0.01961199939250946,-9.999999747378752e-06,1.0,0.0,0.0,0.0,0.0,0.0,-0.1208,0.0,0.0,0.0,0.03096644242592186,-0.002712750351368186,-0.1208,-0.013849041153003021,-0.15808883236120286,1.3501228534818672e-11,-0.0023574610028190756,-0.024166094051907182,-0.0,0.0,0.0,0.0
18.0,0.022036999464035034,0.0003539999888744205,0.0059090000577270985,0.9998059868812561,0.0019130000146105886,0.01961199939250946,-9.999999747378752e-06,1.0,0.0,0.0,0.0,0.0,0.0,-0.1208,0.0,0.0,0.0,0.03096644242592186,-0.002712750351368186,-0.1208,-0.013849041153003021,-0.15808883236120286,1.3501228534818672e-11,-0.0023574610028190756,-0.024166094051907182,-0.0,0.0,0.0,0.0
29.0,0.022036999464035034,0.0003539999888744205,0.0059090000577270985,0.9998059868812561,0.0019130000146105886,0.01961199939250946,-9.999999747378752e-06,1.0,0.0,0.0,0.0,0.00030394907081959994,-0.00030394907081959994,-0.1208,0.0708849741787032,-0.0708849741787032,0.0,0.03096644242592186,-0.002712750351368186,-0.1208,-0.013849041153003021,-0.15808883236120286,1.3501228534818672e-11,-0.003906762379055564,-0.02571539542814367,2.828093615160268e-05,0.0,0.0,0.0
40.0,0.022036999464035034,0.0003539999888744205,0.0059090000577270985,0.9998059868812561,0.0019130000146105886,0.01961199939250946,-9.999999747378752e-06,1.0,0.0,0.0,0.0,0.0007092144985790666,-0.0013171126402182665,-0.1208,0.14061088926329463,-0.10332404939043764,0.0,0.03096644242592186,-0.002712750351368186,-0.1208,-0.013849041153003021,-0.15808883236120286,1.3501228534818672e-11,-0.009071100299843857,-0.027781130596458987,0.0001286649262588027,0.0,0.0,0.0
51.0,0.022036999464035034,0.0003539999888744205,0.0059090000577270985,0.9998059868812561,0.0019130000146105886,0.01961199939250946,-9.999999747378752e-06,1.0,0.0,0.0,0.0,0.002938174351256133,-0.0023302762096169332,-0.1208,0.20361547739829028,-0.049637252813650556,0.0,0.03096644242592186,-0.002712750351368186,-0.1208,-0.013849041153003021,-0.15808883236120286,1.3501228534818672e-11,-0.014235438220632153,-0.039142674022193236,0.00021070630756042953,0.0,0.0,0.0
62.0,0.022036999464035034,0.0003539999888744205,0.0059090000577270985,0.9998059868812561,0.0019130000146105886,0.01961199939250946,-9.999999747378752e-06,1.0,0.0,0.0,0.0,0.005268450560873066,-0.002634225280436533,-0.1208,0.26806888940092566,0.0,0.0,0.03096644242592186,-0.002712750351368186,-0.1208,-0.013849041153003021,-0.15808883236120286,1.3501228534818672e-11,-0.01578473959686864,-0.051020651240006314,0.0002186065672613954,0.0,0.0,0.0
72.0,0.014050000347197056,-0.054503001272678375,0.009242000058293343,0.9998120069503784,0.002457000082358718,0.019226999953389168,0.00014200000441633165,1.0,0.0,0.0,0.0,0.008206624912129198,-0.002634225280436533,-0.1208,0.3309701348544533,0.0,0.0,0.026080762447456975,-0.001969104564733474,-0.1208,-0.010052347657751256,-0.13314320428445522,1.8458193238558947e-11,-0.016451805024288255,-0.0655244582174257,0.00016038526625165972,0.0,0.0,0.0
83.0,0.014050000347197056,-0.054503001272678375,0.009242000058293343,0.9998120069503784,0.002457000082358718,0.019226999953389168,0.00014200000441633165,1.0,0.0,0.0,0.0,0.011752697405024532,-0.002634225280436533,-0.1208,0.3931581131731429,0.0,0.0,0.026080762447456975,-0.001969104564733474,-0.1208,-0.010052347657751256,-0.13314320428445522,1.8458193238558947e-11,-0.016451805024288255,-0.0836000865431919,0.00011463201340569346,0.0,0.0,0.0
94.0,0.014050000347197056,-0.054503001272678375,0.009242000058293343,0.9998120069503784,0.002457000082358718,0.019226999953389168,0.00014200000441633165,1.0,0.0,0.0,0.0,0.015704035325679332,-0.0023302762096169332,-0.1208,0.35097051005418717,0.05731542154565024,0.0,0.026080762447456975,-0.001969104564733474,-0.1208,-0.010052347657751256,-0.13314320428445522,1.8458193238558947e-11,-0.014902465453508299,-0.10374150096333139,3.29261982586563e-05,0.0,0.0,0.0
105.0,0.014050000347197056,-0.054503001272678375,0.009242000058293343,0.9998120069503784,0.002457000082358718,0.019226999953389168,0.00014200000441633165,1.0,0.0,0.0,0.0,0.019250107818574665,-0.002026327138797333,-0.1208,0.30730812581759925,0.0,0.0,0.026080762447456975,-0.001969104564733474,-0.1208,-0.010052347657751256,-0.13314320428445522,1.8458193238558947e-11,-0.013353125882728337,-0.12181712928909759,-4.355067370598477e-05,0.0,0.0,0.0
115.0,0.014050000347197056,-0.054503001272678375,0.009242000058293343,0.9998120069503784,0.002457000082358718,0.019226999953389168,0.00014200000441633165,1.0,0.0,0.0,0.0,0.022390914883710533,-0.0019250107818574664,-0.1208,0.2626424969083012,0.0,0.0,0.026080762447456975,-0.001969104564733474,-0.1208,-0.010052347657751256,-0.13314320428445522,1.8458193238558947e-11,-0.012836679359135017,-0.1378269715204905,-9.431618974244648e-05,0.0,0.0,0.0
125.0,-0.007209999952465296,-0.08506999909877777,0.008047999814152718,0.9998589754104614,0.002948000095784664,0.016529999673366547,0.0002809999859891832,1.0,0.0,0.0,0.0,0.024923823807207195,-0.0019250107818574664,-0.1208,0.22011604124212014,0.0,0.0,0.019365461932796976,-0.0018819615894622973,-0.1208,-0.009605678568477983,-0.09884282639295008,1.3624911255139327e-11,-0.013441353215693485,-0.1474402619752962,-0.0002183806861204276,0.0,0.0,0.0
136.0,-0.007209999952465296,-0.08506999909877777,0.008047999814152718,0.9998589754104614,0.002948000095784664,0.016529999673366547,0.0002809999859891832,1.0,0.0,0.0,0.0,0.027051467302944398,-0.0019250107818574664,-0.1208,0.1766518216630649,0.0,0.0,0.019365461932796976,-0.0018819615894622973,-0.1208,-0.009605678568477983,-0.09884282639295008,1.3624911255139327e-11,-0.013441353215693485,-0.15828767686355347,-0.0002513047912899837,0.0,0.0,0.0
146.0,-0.007209999952465296,-0.08506999909877777,0.008047999814152718,0.9998589754104614,0.002948000095784664,0.016529999673366547,0.0002809999859891832,1.0,0.0,0.0,0.0,0.02877384537092213,-0.0018236944249175996,-0.1208,0.13132197286608444,0.0,0.0,0.019365461932796976,-0.0018819615894622973,-0.1208,-0.009605678568477983,-0.09884282639295008,1.3624911255139327e-11,-0.012924809649585998,-0.16706891748738076,-0.0002867629903700549,0.0,0.0,0.0
156.0,-0.007209999952465296,-0.08506999909877777,0.008047999814152718,0.9998589754104614,0.002948000095784664,0.016529999673366547,0.0002809999859891832,1.0,0.0,0.0,0.0,0.0300909580111404,-0.0018236944249175996,-0.1208,0.08105466403944848,0.0,0.0,0.019365461932796976,-0.0018819615894622973,-0.1208,-0.009605678568477983,-0.09884282639295008,1.3624911255139327e-11,-0.012924809649585998,-0.17378398384677812,-0.000307144579284542,0.0,0.0,0.0
167.0,-0.007209999952465296,-0.08506999909877777,0.008047999814152718,0.9998589754104614,0.002948000095784664,0.016529999673366547,0.0002809999859891832,1.0,0.0,0.0,0.0,0.03059753979583973,-0.0018236944249175996,-0.1208,-0.03772818404417343,0.0,0.0,0.019365461932796976,-0.0018819615894622973,-0.1208,-0.009605678568477983,-0.09884282639295008,1.3624911255139327e-11,-0.012924809649585998,-0.17636670167731552,-0.0003149836519439601,0.0,0.0,0.0
178.0,-0.007209999952465296,-0.08506999909877777,0.008047999814152718,0.9998589754104614,0.002948000095784664,0.016529999673366547,0.0002809999859891832,1.0,0.0,0.0,0.0,0.030698856152779595,-0.0018236944249175996,-0.1208,-0.10537508753687902,0.0,0.0,0.019365461932796976,-0.0018819615894622973,-0.1208,-0.009605678568477983,-0.09884282639295008,1.3624911255139327e-11,-0.012924809649585998,-0.17688324524342303,-0.0003165514664758436,0.0,0.0,0.0
189.0,0.0003929999948013574,-0.06882800161838531,0.0035989999305456877,0.9998949766159058,0.0029819998890161514,0.014162999577820301,0.00034699999378062785,1.0,0.0,0.0,0.0,0.029685692583380927,-0.0018236944249175996,-0.1208,-0.17113345418393397,0.0,0.0,0.016784497048962923,-0.003814627991977353,-0.1208,-0.019467328044877958,-0.0856569266544154,4.4885048032270005e-12,-0.012967850922578359,-0.16882377419812591,-0.00032884209312652616,0.0,0.0,0.0
201.0,0.0003929999948013574,-0.06882800161838531,0.0035989999305456877,0.9998949766159058,0.0029819998890161514,0.014162999577820301,0.00034699999378062785,1.0,0.0,0.0,0.0,0.026950150946004527,-0.0018236944249175996,-0.1208,-0.23680063611204655,0.0,0.0,0.016784497048962923,-0.003814627991977353,-0.1208,-0.019467328044877958,-0.0856569266544154,4.4885048032270005e-12,-0.012967850922578359,-0.1548750817087313,-0.0002860244537340354,0.0,0.0,0.0
212.0,0.0003929999948013574,-0.06882800161838531,0.0035989999305456877,0.9998949766159058,0.0029819998890161514,0.014162999577820301,0.00034699999378062785,1.0,0.0,0.0,0.0,0.024315925665567995,-0.0018236944249175996,-0.1208,-0.24817388320974748,-0.0708849741787032,0.0,0.016784497048962923,-0.003814627991977353,-0.1208,-0.019467328044877958,-0.0856569266544154,4.4885048032270005e-12,-0.012967850922578359,-0.14144300745968463,-0.00024479265283756273,0.0,0.0,0.0
223.0,0.0003929999948013574,-0.06882800161838531,0.0035989999305456877,0.9998949766159058,0.0029819998890161514,0.014162999577820301,0.00034699999378062785,1.0,0.0,0.0,0.0,0.02178301674207133,-0.0030394907081959994,-0.1208,-0.20263333692219757,-0.07581990129949917,0.0,0.016784497048962923,-0.003814627991977353,-0.1208,-0.019467328044877958,-0.0856569266544154,4.4885048032270005e-12,-0.019167269806753744,-0.12852755145098593,-0.00011460763296590858,0.0,0.0,0.0
234.0,0.0003929999948013574,-0.06882800161838531,0.0035989999305456877,0.9998949766159058,0.0029819998890161514,0.014162999577820301,0.00034699999378062785,1.0,0.0,0.0,0.0,0.019756689603273994,-0.0034447561359554663,-0.1208,-0.1569594380490121,0.0,0.0,0.016784497048962923,-0.003814627991977353,-0.1208,-0.019467328044877958,-0.0856569266544154,4.4885048032270005e-12,-0.02123374276814554,-0.11819518664402694,-5.27111772218117e-05,0.0,0.0,0.0
245.0,0.01386099960654974,-0.025530999526381493,-0.002478000009432435,0.9999070167541504,0.003109999932348728,0.013276999816298485,0.0003549999964889139,1.0,0.0,0.0,0.0,0.018236944249175997,-0.003748705206775066,-0.1208,-0.11098765896231287,0.0,0.0,0.018640238984336564,-0.006410557488706945,-0.1208,-0.03271370603288383,-0.09512297480937636,-7.398100285612455e-12,-0.022942539261678753,-0.10935878949374651,-3.604256069485734e-05,0.0,0.0,0.0
255.0,0.01386099960654974,-0.025530999526381493,-0.002478000009432435,0.9999070167541504,0.003109999932348728,0.013276999816298485,0.0003549999964889139,1.0,0.0,0.0,0.0,0.017122464322837466,-0.003748705206775066,-0.1208,-0.05731542154565024,0.0,0.0,0.018640238984336564,-0.006410557488706945,-0.1208,-0.03271370603288383,-0.09512297480937636,-7.398100285612455e-12,-0.022942539261678753,-0.10367571814662237,-1.784692256223387e-05,0.0,0.0,0.0
266.0,0.01386099960654974,-0.025530999526381493,-0.002478000009432435,0.9999070167541504,0.003109999932348728,0.013276999816298485,0.0003549999964889139,1.0,0.0,0.0,0.0,0.016818515252017864,-0.004052654277594666,-0.1208,-0.028661069409972834,-0.0708849741787032,0.0,0.018640238984336564,-0.006410557488706945,-0.1208,-0.03271370603288383,-0.09512297480937636,-7.398100285612455e-12,-0.024492467810894435,-0.10212578959740667,8.33478731837458e-06,0.0,0.0,0.0
278.0,0.01386099960654974,-0.025530999526381493,-0.002478000009432435,0.9999070167541504,0.003109999932348728,0.013276999816298485,0.0003549999964889139,1.0,0.0,0.0,0.0,0.017122464322837466,-0.005065817846993333,-0.1208,0.0877744104539159,-0.10332404939043764,0.0,0.018640238984336564,-0.006410557488706945,-0.1208,-0.03271370603288383,-0.09512297480937636,-7.398100285612455e-12,-0.029658896308280037,-0.10367571814662237,7.410321761215058e-05,0.0,0.0,0.0
